Video,Response
Pair_48,right
Pair_22,left
Pair_39,left
Pair_12,left
Pair_17,right
Pair_40,right
Pair_8,right
Pair_64,right
Pair_21,left
Pair_43,left
Pair_50,right
Pair_34,right
Pair_58,right
Pair_26,right
Pair_35,left
Pair_20,left
Pair_42,right
Pair_28,left
Pair_16,left
Pair_33,left
Pair_15,left
Pair_62,left
Pair_44,right
Pair_32,left
Pair_23,left
Pair_47,left
Pair_27,left
Pair_37,left
Pair_59,left
Pair_41,left
Pair_7,right
Pair_49,left
Pair_57,left
Pair_60,left
Pair_30,right
Pair_2,left
Pair_51,left
Pair_63,left
Pair_65,left
Pair_3,right
Pair_45,left
Pair_31,right
Pair_61,right
Pair_5,right
Pair_36,right
Pair_13,right
Pair_1,left
Pair_6,right
Pair_56,left
Pair_55,left
Pair_24,right
Pair_54,right
Pair_10,right
Pair_25,right
Pair_52,right
Pair_29,right
Pair_46,left
Pair_53,left
Pair_11,right
Pair_38,right
Pair_4,left
Pair_14,left
Pair_19,left
Pair_9,right
Pair_18,right
Pair_66,left
